Inicial,,,Fase 0,,,Fase 1,,,Fase 2,,,Fase 3,,,Fase 4,,
Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Tiempo total
522152.0,3.958299976147828e-05,277080.99833034794,523124.0,3.6508532119996744,43810238543.99609,528164.0,0.17713977399989744,2125677287.9987693,528156.0,0.04434487100024853,266069226.0014912,528156.0,1.0143582929999866,6086149757.99992,528156.0,0.20526363399994807,1436845437.9996364,5.12095182999974
528156.0,4.104100025870139e-05,287287.0018109097,528652.0,3.6730910149999545,33057819134.99959,533684.0,0.18127678400014702,2175321408.0017643,533684.0,0.04301442199994199,258086531.99965194,533684.0,1.0121157619996666,6072694571.997999,533684.0,0.1541972300001362,1079380610.0009532,5.093568037000296
533684.0,4.1509999846311985e-05,290569.9989241839,534180.0,3.643615933000092,43723391196.00111,539220.0,0.17346959299993614,2081635115.9992337,539212.0,0.04429477100029544,265768626.00177264,539212.0,1.0110973989999366,6066584393.9996195,539212.0,0.14051244600022983,983587122.0016088,5.040986661999796
539212.0,3.953099985665176e-05,276716.9989965623,539716.0,3.651535185999819,43818422231.997826,545008.0,0.17802259300015066,2136271116.001808,544988.0,0.044237063999844395,265422383.99906638,544988.0,1.0112370560000272,6067422336.000163,544988.0,0.2087096720001682,1252258032.0010092,5.123252306999802
544988.0,4.302099978303886e-05,258125.99869823316,545980.0,4.709715673000119,56516588076.00143,550768.0,0.17676622499993755,2121194699.9992507,550768.0,0.043933909999850584,263603459.99910352,550768.0,1.0119367090001106,6071620254.000664,550768.0,0.1478786089996902,1035150262.9978313,6.11994602599998
550768.0,3.895800000464078e-05,272706.00003248546,550768.0,3.690131982999901,44281583795.99881,550768.0,0.16441133699981947,1972936043.9978337,550752.0,0.0432375890000003,259425534.0000018,550752.0,1.0103164780002771,6061898868.001663,550752.0,0.1754531329997917,1052718797.9987502,5.1139397380002265
550752.0,4.45840000793396e-05,267504.0004760376,551004.0,3.616352395999911,43396228751.99893,550988.0,0.17129136399989875,2055496367.998785,550988.0,0.043965132999801426,263790797.99880856,550988.0,1.0150313429999187,6090188057.999513,550988.0,0.13637543100003313,818252586.0001988,5.011985666999863
550988.0,4.364599999462371e-05,261875.99996774225,550988.0,3.6985483790003855,44382580548.00462,550988.0,0.1669274010000663,2003128812.0007958,550972.0,0.04475555599992731,268533335.9995639,550972.0,1.0110405479999827,6066243287.999896,550972.0,0.20452857300006144,1227171438.0003686,5.155892640999809
550972.0,4.270799990990781e-05,256247.99945944687,551224.0,3.669144256999971,44029731083.99965,551224.0,0.16604890100006742,1992586812.000809,551208.0,0.04440474200009703,266428452.0005822,551208.0,1.0093084480004109,6055850688.002465,551208.0,0.16585431099974812,995125865.9984888,5.085022112999923
551208.0,4.4114000047557056e-05,264684.00028534234,551460.0,3.630725116999656,43568701403.99587,551460.0,0.16413576800005103,1969629216.0006123,551444.0,0.04458816199985449,267528971.99912694,551444.0,1.0100766069999736,6060459641.999842,551444.0,0.16064529999994193,963871799.9996516,5.040615268000238
551444.0,8.682299994688947e-05,520937.9996813368,551444.0,3.6395246980000593,29116197584.000473,551428.0,0.168775905000075,2025310860.0009,551428.0,0.043561336000038864,261368016.00023317,551428.0,1.0102828409999347,6061697045.999608,551428.0,2.6889835869997114,16133901521.998268,7.582468876000348
